Data	Hora	Exchange	Moeda	Sinal	Grafico	Preco
20/01/2026	21:30:08	BINANCE	ARPAUSDT	agulhada santa de venda	15 minutos	0,01538,
20/01/2026	21:41:03	BINANCE	ARPAUSDT	agulhada santa de venda	15 minutos	0,01502,
20/01/2026	21:42:38	BINANCE	DASHUSDT	agulhada santa de venda	15 minutos	68,65,
20/01/2026	22:00:14	BINANCE	LRCUSDT	alerta de compra	60 minutos	0,0495,
20/01/2026	22:40:18	BINANCE	GMTUSDT	alerta de compra	60 minutos	0,01712,
20/01/2026	22:46:02	BINANCE	LRCUSDT	agulhada santa de compra	60 minutos	0,05,
20/01/2026	23:15:11	BINANCE	THETAUSDT	alerta de compra	60 minutos	0,305,
20/01/2026	23:43:27	BINANCE	MANAUSDT	alerta de compra	60 minutos	0,1597,
20/01/2026	23:44:22	BYBIT	MANAUSDT	alerta de compra	60 minutos	0,1599,
21/01/2026	00:00:10	BINANCE	ROSEUSDT	agulhada santa de compra	60 minutos	0,01771,
21/01/2026	00:00:11	BINANCE	ROSEUSDT	agulhada santa de compra	60 minutos	0,01771,
21/01/2026	00:30:09	BINANCE	HIGHUSDT	agulhada santa de compra	60 minutos	0,215,
21/01/2026	00:30:11	BINANCE	HIGHUSDT	agulhada santa de compra	60 minutos	0,216,
21/01/2026	01:00:08	BINANCE	ROSEUSDT	agulhada santa de compra	60 minutos	0,01828,
21/01/2026	01:00:09	BINANCE	ROSEUSDT	agulhada santa de compra	60 minutos	0,01832,
21/01/2026	01:15:08	MEXC	VISTAUSDT	alerta de venda	60 minutos	3,034,
21/01/2026	03:46:33	BINANCE	LUNAUSDT	agulhada santa de venda	15 minutos	0,0802,
21/01/2026	03:46:33	BINANCE	LUNAUSDT	agulhada santa de venda	15 minutos	0,0802,
21/01/2026	03:49:37	BINANCE	DUSKUSDT	alerta de compra	60 minutos	0,2428,
21/01/2026	03:52:20	BINANCE	WOOUSDT	agulhada santa de venda	15 minutos	0,0254,
21/01/2026	03:52:22	BINANCE	SNXUSDT	agulhada santa de venda	15 minutos	0,426,
